2026-07-01 16:55:32 | DEBUG    | trading_bot | Raw response payload: {'algoId': 1000000121271825, 'clientAlgoId': 'x-Cb7ytekJdfd3fdfda594b9cd992d08', 'algoType': 'CONDITIONAL', 'orderType': 'STOP', 'symbol': 'BTCUSDT', 'side': 'BUY', 'positionSide': 'BOTH', 'timeInForce': 'GTC', 'quantity': '0.0010', 'algoStatus': 'NEW', 'triggerPrice': '66500.00', 'price': '67000.00', 'icebergQuantity': None, 'selfTradePreventionMode': 'EXPIRE_MAKER', 'workingType': 'CONTRACT_PRICE', 'priceMatch': 'NONE', 'closePosition': False, 'priceProtect': False, 'reduceOnly': False, 'createTime': 1782905131897, 'updateTime': 1782905131897, 'triggerTime': 0, 'goodTillDate': 0}
2026-07-01 20:55:30 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 20:55:30 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-01 20:55:30 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 20:55:30 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 20:55:32 | INFO     | trading_bot | Order response: orderId=18265875362 status=NEW executedQty=0.0000 avgPrice=None
2026-07-01 20:55:32 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18265875362, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ17acf9f1ea6b0fa8378ec6', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782919532694}
2026-07-01 20:56:13 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 20:56:13 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-01 20:56:13 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 65000.0, 'timeInForce': 'GTC'}
2026-07-01 20:56:13 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 65000.0, 'timeInForce': 'GTC'}
2026-07-01 20:56:14 | INFO     | trading_bot | Order response: orderId=18265984647 status=NEW executedQty=0.0000 avgPrice=None
2026-07-01 20:56:14 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18265984647, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJd381d250731fd55f824730', 'price': '65000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782919574600}
2026-07-01 21:28:19 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 21:28:19 | INFO     | trading_bot | Starting automated trading for BTCUSDT
2026-07-01 21:29:30 | INFO     | trading_bot | Auto-trading stopped by user
